avg_served_clients,avg_waiting_clients,n_pumps,n_registers,arrival_prob,avg_refuelling_time,std_refuelling_time,avg_payment_time,std_payment_time,avg_time_pumps,avg_time_registers
238.6,0.28,5,10,0.5,2,2,2,5,145.404,128.94400000000002
88.3,151.22,6,1,0.5,2,2,2,5,121.85333333333334,480.42
173.9,66.98,6,2,0.5,2,2,2,5,121.26666666666667,478.13
231.96,9.32,6,3,0.5,2,2,2,5,119.8,424.71999999999997
235.62,4.86,6,4,0.5,2,2,2,5,119.57333333333334,319.53000000000003
234.36,2.92,6,5,0.5,2,2,2,5,119.61333333333333,253.42800000000003
233.82,1.74,6,6,0.5,2,2,2,5,119.44666666666666,211.83666666666667
237.08,0.82,6,7,0.5,2,2,2,5,120.80333333333333,184.88000000000002
235.96,0.12,6,8,0.5,2,2,2,5,120.96999999999998,160.2325
237.9,0.04,6,9,0.5,2,2,2,5,121.16666666666669,143.4622222222222
239.64,0.02,6,10,0.5,2,2,2,5,122.41666666666669,130.43200000000002
88.26,153.1,7,1,0.5,2,2,2,5,104.05999999999999,481.42
176.16,65.66,7,2,0.5,2,2,2,5,104.80285714285715,477.75
233.38,10.32,7,3,0.5,2,2,2,5,102.72571428571428,422.0
238.08,4.82,7,4,0.5,2,2,2,5,104.00857142857144,322.75
237.84,2.86,7,5,0.5,2,2,2,5,104.46000000000002,258.796
235.52,1.9,7,6,0.5,2,2,2,5,102.47142857142855,212.62333333333333
235.42,0.78,7,7,0.5,2,2,2,5,103.25428571428571,183.29999999999998
237.0,0.24,7,8,0.5,2,2,2,5,104.11142857142856,160.05750000000003
239.12,0.04,7,9,0.5,2,2,2,5,104.52857142857144,142.97777777777776
235.82,0.0,7,10,0.5,2,2,2,5,102.45714285714284,128.92000000000002
87.68,151.78,8,1,0.5,2,2,2,5,90.695,480.9
175.4,62.92,8,2,0.5,2,2,2,5,90.5,477.99
234.76,10.36,8,3,0.5,2,2,2,5,89.98749999999998,427.2866666666667
237.64,4.7,8,4,0.5,2,2,2,5,90.65500000000002,323.55
237.64,2.84,8,5,0.5,2,2,2,5,90.62750000000001,258.67999999999995
237.3,1.8,8,6,0.5,2,2,2,5,90.8125,213.57000000000002
234.92,0.8,8,7,0.5,2,2,2,5,90.285,180.75142857142856
235.14,0.16,8,8,0.5,2,2,2,5,89.58000000000001,160.02499999999998
236.44,0.02,8,9,0.5,2,2,2,5,90.41499999999999,142.3488888888889
236.76,0.0,8,10,0.5,2,2,2,5,91.24749999999999,128.54199999999997
88.36,151.32,9,1,0.5,2,2,2,5,80.82666666666667,481.22
176.12,64.4,9,2,0.5,2,2,2,5,80.99333333333335,478.54999999999995
233.06,9.4,9,3,0.5,2,2,2,5,80.35777777777778,422.31333333333333
237.0,4.64,9,4,0.5,2,2,2,5,81.02222222222221,318.26
237.1,3.16,9,5,0.5,2,2,2,5,80.49999999999999,256.736
238.68,1.98,9,6,0.5,2,2,2,5,81.07111111111112,215.76666666666665
235.7,0.74,9,7,0.5,2,2,2,5,80.35777777777776,181.8485714285714
236.94,0.16,9,8,0.5,2,2,2,5,80.81111111111112,160.635
237.74,0.0,9,9,0.5,2,2,2,5,81.43333333333334,143.29777777777775
238.48,0.0,9,10,0.5,2,2,2,5,80.74666666666667,128.722
88.38,150.0,10,1,0.5,2,2,2,5,72.334,481.5
175.46,64.34,10,2,0.5,2,2,2,5,72.80999999999999,477.91
235.68,9.7,10,3,0.5,2,2,2,5,73.13199999999998,422.76666666666665
236.96,4.8,10,4,0.5,2,2,2,5,72.41,325.81
238.04,3.28,10,5,0.5,2,2,2,5,72.602,259.296
239.26,1.88,10,6,0.5,2,2,2,5,73.242,215.79333333333332
237.62,1.1,10,7,0.5,2,2,2,5,73.026,185.39142857142855
