avg_served_clients,avg_waiting_clients,n_pumps,n_registers,arrival_prob,avg_refuelling_time,std_refuelling_time,avg_payment_time,std_payment_time,avg_time_pumps,avg_time_registers
234.24,5.7,2,6,0.5,2,2,5,5,360.49,271.2
178.02,61.86,2,6,0.5,2,5,2,2,481.63,89.77333333333333
175.96,61.36,2,6,0.5,2,5,2,5,481.17,159.29
176.04,62.26,2,6,0.5,2,5,5,2,481.02,151.39000000000001
174.68,66.2,2,6,0.5,2,5,5,5,481.09000000000003,200.2433333333333
184.64,56.36,2,6,0.5,5,2,2,2,481.52,93.18333333333335
184.28,55.58,2,6,0.5,5,2,2,5,481.43,166.33
185.14,53.98,2,6,0.5,5,2,5,2,480.51,158.50666666666663
182.62,58.84,2,6,0.5,5,2,5,5,481.62,211.71333333333334
138.84,101.68,2,6,0.5,5,5,2,2,483.72,70.14666666666666
136.72,100.78,2,6,0.5,5,5,2,5,483.13,122.59666666666668
137.56,99.84,2,6,0.5,5,5,5,2,483.03,118.40999999999998
136.68,103.08,2,6,0.5,5,5,5,5,483.52,159.35
157.62,83.06,3,1,0.5,2,2,2,2,243.9333333333333,479.06
89.74,148.86,3,1,0.5,2,2,2,5,240.85999999999999,481.5
92.58,146.02,3,1,0.5,2,2,5,2,240.82666666666668,480.78
69.94,170.6,3,1,0.5,2,2,5,5,243.10666666666668,482.52
157.0,81.68,3,1,0.5,2,5,2,2,425.9533333333333,476.58
89.58,151.22,3,1,0.5,2,5,2,5,432.22,480.0
92.58,145.12,3,1,0.5,2,5,5,2,424.91333333333336,478.46
68.74,171.8,3,1,0.5,2,5,5,5,426.6266666666666,480.92
156.62,82.02,3,1,0.5,5,2,2,2,407.44,477.1
89.22,147.02,3,1,0.5,5,2,2,5,404.56666666666666,479.74
93.12,145.94,3,1,0.5,5,2,5,2,409.24666666666667,479.46
69.06,169.26,3,1,0.5,5,2,5,5,409.82,480.86
158.22,81.56,3,1,0.5,5,5,2,2,478.14000000000004,473.6
87.7,150.92,3,1,0.5,5,5,2,5,477.76666666666665,477.04
92.96,145.24,3,1,0.5,5,5,5,2,478.96000000000004,477.68
69.32,170.66,3,1,0.5,5,5,5,5,477.7133333333333,479.74
239.02,5.9,3,2,0.5,2,2,2,2,242.22000000000003,362.44
177.36,63.16,3,2,0.5,2,2,2,5,242.17999999999998,479.74
184.54,55.16,3,2,0.5,2,2,5,2,242.27999999999997,478.77
139.72,98.14,3,2,0.5,2,2,5,5,241.70000000000002,480.70000000000005
233.22,11.04,3,2,0.5,2,5,2,2,423.08,353.31
173.38,64.86,3,2,0.5,2,5,2,5,431.84666666666664,474.78999999999996
183.92,56.22,3,2,0.5,2,5,5,2,427.26,474.72
137.46,98.72,3,2,0.5,2,5,5,5,422.9733333333333,478.7
234.2,8.7,3,2,0.5,5,2,2,2,408.72,354.09000000000003
176.68,62.36,3,2,0.5,5,2,2,5,410.18666666666667,476.02
183.2,56.46,3,2,0.5,5,2,5,2,409.7266666666667,476.07
135.92,102.4,3,2,0.5,5,2,5,5,408.3533333333333,478.13
205.0,37.3,3,2,0.5,5,5,2,2,478.97333333333336,309.93
173.7,66.66,3,2,0.5,5,5,2,5,477.66,470.28999999999996
182.1,55.6,3,2,0.5,5,5,5,2,478.79333333333335,469.91999999999996
137.12,98.68,3,2,0.5,5,5,5,5,477.92,475.78999999999996
239.52,3.32,3,3,0.5,2,2,2,2,243.01333333333332,240.41333333333333
233.84,10.54,3,3,0.5,2,2,2,5,239.22,424.32
234.48,7.46,3,3,0.5,2,2,5,2,239.0,402.28000000000003
205.04,32.98,3,3,0.5,2,2,5,5,238.32000000000002,473.22666666666663
233.7,10.14,3,3,0.5,2,5,2,2,422.8733333333333,236.53333333333333
227.98,14.16,3,3,0.5,2,5,2,5,422.9533333333334,414.2533333333334
232.44,11.22,3,3,0.5,2,5,5,2,427.00666666666666,397.48
203.06,36.56,3,3,0.5,2,5,5,5,429.34,472.49333333333334
235.18,7.56,3,3,0.5,5,2,2,2,409.14000000000004,236.78
231.5,11.74,3,3,0.5,5,2,2,5,407.1666666666667,419.3533333333333
236.4,9.34,3,3,0.5,5,2,5,2,413.67333333333335,406.75333333333333
204.36,34.14,3,3,0.5,5,2,5,5,408.3066666666667,470.94
205.52,34.16,3,3,0.5,5,5,2,2,476.8,207.59333333333333
203.24,35.86,3,3,0.5,5,5,2,5,477.8733333333333,371.36666666666673
206.88,33.26,3,3,0.5,5,5,5,2,477.4866666666667,356.21999999999997
197.12,41.2,3,3,0.5,5,5,5,5,479.24666666666667,454.53999999999996
239.84,2.68,3,4,0.5,2,2,2,2,244.74,181.515
234.64,4.64,3,4,0.5,2,2,2,5,238.62,321.03000000000003
236.68,3.82,3,4,0.5,2,2,5,2,240.87333333333333,307.18
234.16,7.72,3,4,0.5,2,2,5,5,241.1,404.32
231.34,10.94,3,4,0.5,2,5,2,2,422.37999999999994,175.63
232.28,10.52,3,4,0.5,2,5,2,5,426.31333333333333,315.89
231.66,9.74,3,4,0.5,2,5,5,2,424.5733333333333,300.835
230.28,12.42,3,4,0.5,2,5,5,5,424.50666666666666,399.205
236.66,6.98,3,4,0.5,5,2,2,2,410.4066666666667,179.42000000000002
235.24,7.7,3,4,0.5,5,2,2,5,409.08,318.08500000000004
238.24,7.5,3,4,0.5,5,2,5,2,415.25333333333333,307.7
234.0,10.38,3,4,0.5,5,2,5,5,410.4866666666667,404.92999999999995
206.38,31.38,3,4,0.5,5,5,2,2,477.0666666666666,155.56
203.42,34.82,3,4,0.5,5,5,2,5,477.50666666666666,275.76
204.22,37.04,3,4,0.5,5,5,5,2,478.78666666666663,264.87
201.58,38.38,3,4,0.5,5,5,5,5,477.99333333333334,348.43500000000006
235.74,2.44,3,5,0.5,2,2,2,2,237.72000000000003,142.00400000000002
233.54,3.1,3,5,0.5,2,2,2,5,239.82000000000002,254.04399999999995
240.38,3.0,3,5,0.5,2,2,5,2,245.81333333333336,247.89600000000002
235.66,4.7,3,5,0.5,2,2,5,5,241.92,326.524
233.52,9.96,3,5,0.5,2,5,2,2,427.73333333333335,140.51600000000002
230.24,10.58,3,5,0.5,2,5,2,5,422.18666666666667,253.012
232.4,11.18,3,5,0.5,2,5,5,2,426.1466666666667,240.08799999999997
231.1,11.44,3,5,0.5,2,5,5,5,424.5133333333333,319.42400000000004
237.6,7.1,3,5,0.5,5,2,2,2,412.1466666666667,144.068
232.48,7.2,3,5,0.5,5,2,2,5,406.46,251.25999999999993
234.84,7.16,3,5,0.5,5,2,5,2,408.4533333333334,243.49200000000002
231.32,7.44,3,5,0.5,5,2,5,5,403.98,321.104
205.18,33.86,3,5,0.5,5,5,2,2,479.17333333333335,124.28399999999999
204.9,33.58,3,5,0.5,5,5,2,5,477.02666666666664,224.53199999999998
203.98,34.34,3,5,0.5,5,5,5,2,478.5,211.57599999999996
203.68,35.62,3,5,0.5,5,5,5,5,476.9333333333334,282.664
236.16,2.66,3,6,0.5,2,2,2,2,240.16666666666666,118.7633333333333
236.94,2.7,3,6,0.5,2,2,2,5,242.20666666666668,214.76333333333335
239.4,2.54,3,6,0.5,2,2,5,2,243.82000000000002,206.70000000000002
235.74,3.52,3,6,0.5,2,2,5,5,241.58,273.0033333333334
234.9,10.36,3,6,0.5,2,5,2,2,427.89333333333326,118.05999999999999
235.32,11.1,3,6,0.5,2,5,2,5,432.7,212.5966666666667
232.52,9.48,3,6,0.5,2,5,5,2,426.4666666666667,200.33
230.02,9.3,3,6,0.5,2,5,5,5,423.38000000000005,265.04
234.88,7.12,3,6,0.5,5,2,2,2,408.18,118.00666666666666
236.38,7.36,3,6,0.5,5,2,2,5,411.32,212.2466666666667
234.66,7.26,3,6,0.5,5,2,5,2,410.5133333333333,202.14000000000001
234.92,7.06,3,6,0.5,5,2,5,5,408.36000000000007,274.92
205.48,34.82,3,6,0.5,5,5,2,2,475.4666666666667,103.63333333333333
204.64,35.92,3,6,0.5,5,5,2,5,476.1466666666667,185.51333333333332
204.54,34.28,3,6,0.5,5,5,5,2,477.5533333333333,176.43666666666664
203.54,34.66,3,6,0.5,5,5,5,5,478.75333333333333,235.74333333333334
158.5,85.0,4,1,0.5,2,2,2,2,183.70999999999998,478.96
86.8,151.84,4,1,0.5,2,2,2,5,180.76,480.46
